factor,feature,value,actionability,plays,wins,losses,win_rate,baseline_win_rate,win_rate_lift,sample_flag,promotion_status,selector_influence_allowed,recommendation,blockers,warnings
spread_status=blocked,spread_status,blocked,selector_diagnostic,1,1,0,1.0,0.7778,0.2222,micro,research,False,Retain as a descriptive feature only.,needs at least 4 graded plays to monitor,
division_game=true,division_game,true,context,7,6,1,0.8571,0.7778,0.0793,thin,research,False,Retain as a descriptive feature only.,context factor should not directly alter picks,thin sample below candidate threshold 8
moneyline_selected_ev_bin=>=0.20,moneyline_selected_ev_bin,>=0.20,moneyline_research,12,10,2,0.8333,0.7778,0.0555,monitor,research,False,Retain as a descriptive feature only.,moneyline is research-only until the pricing model is separately validated,below production threshold 40
moneyline_selected_edge_bin=>=0.20,moneyline_selected_edge_bin,>=0.20,moneyline_research,6,5,1,0.8333,0.7778,0.0555,thin,research,False,Retain as a descriptive feature only.,moneyline is research-only until the pricing model is separately validated,thin sample below candidate threshold 8
conference_game=true,conference_game,true,context,14,11,3,0.7857,0.7778,0.0079,monitor,research,False,Retain as a descriptive feature only.,context factor should not directly alter picks,below production threshold 40
best_edge_status=play,best_edge_status,play,selector_diagnostic,18,14,4,0.7778,0.7778,0.0,monitor,research,False,Retain as a descriptive feature only.,non-positive lift,below production threshold 40
expectation_games_tracked_min_bin=<4_games,expectation_games_tracked_min_bin,<4_games,research_feature,18,14,4,0.7778,0.7778,0.0,monitor,research,False,Retain as a descriptive feature only.,non-positive lift,below production threshold 40
expectation_sample_warning=true,expectation_sample_warning,true,context,18,14,4,0.7778,0.7778,0.0,monitor,research,False,Retain as a descriptive feature only.,context factor should not directly alter picks;non-positive lift,below production threshold 40
moneyline_status=research_thin_sample,moneyline_status,research_thin_sample,moneyline_research,18,14,4,0.7778,0.7778,0.0,monitor,research,False,Retain as a descriptive feature only.,moneyline is research-only until the pricing model is separately validated;non-positive lift,below production threshold 40
spread_status=playable,spread_status,playable,selector_diagnostic,13,10,3,0.7692,0.7778,-0.0086,monitor,research,False,Retain as a descriptive feature only.,non-positive lift,below production threshold 40
data_quality_status=OK,data_quality_status,OK,context,16,12,4,0.75,0.7778,-0.0278,monitor,research,False,Retain as a descriptive feature only.,context factor should not directly alter picks;non-positive lift,below production threshold 40
source_health_status=OK,source_health_status,OK,context,16,12,4,0.75,0.7778,-0.0278,monitor,research,False,Retain as a descriptive feature only.,context factor should not directly alter picks;non-positive lift,below production threshold 40
best_edge_market=spread,best_edge_market,spread,selector_diagnostic,12,9,3,0.75,0.7778,-0.0278,monitor,research,False,Retain as a descriptive feature only.,non-positive lift,below production threshold 40
total_status=lean,total_status,lean,selector_diagnostic,12,9,3,0.75,0.7778,-0.0278,monitor,research,False,Retain as a descriptive feature only.,non-positive lift,below production threshold 40
moneyline_selected_edge_bin=0.10_to_0.20,moneyline_selected_edge_bin,0.10_to_0.20,moneyline_research,8,6,2,0.75,0.7778,-0.0278,monitor,research,False,Retain as a descriptive feature only.,moneyline is research-only until the pricing model is separately validated;non-positive lift,below production threshold 40
value_gap_side=HOME,value_gap_side,HOME,research_feature,8,6,2,0.75,0.7778,-0.0278,monitor,research,False,Retain as a descriptive feature only.,non-positive lift,below production threshold 40
best_edge_score_bin=>=5,best_edge_score_bin,>=5,selector_diagnostic,4,3,1,0.75,0.7778,-0.0278,thin,research,False,Retain as a descriptive feature only.,non-positive lift,thin sample below candidate threshold 8
conference_game=false,conference_game,false,context,4,3,1,0.75,0.7778,-0.0278,thin,research,False,Retain as a descriptive feature only.,context factor should not directly alter picks;non-positive lift,thin sample below candidate threshold 8
moneyline_selected_edge_bin=0_to_0.10,moneyline_selected_edge_bin,0_to_0.10,moneyline_research,4,3,1,0.75,0.7778,-0.0278,thin,research,False,Retain as a descriptive feature only.,moneyline is research-only until the pricing model is separately validated;non-positive lift,thin sample below candidate threshold 8
overperformance_pick_alignment=neutral,overperformance_pick_alignment,neutral,candidate_overlay,4,3,1,0.75,0.7778,-0.0278,thin,research,False,Retain as a descriptive feature only.,non-positive lift,thin sample below candidate threshold 8
overperformance_side=HOME,overperformance_side,HOME,research_feature,4,3,1,0.75,0.7778,-0.0278,thin,research,False,Retain as a descriptive feature only.,non-positive lift,thin sample below candidate threshold 8
spread_status=lean,spread_status,lean,selector_diagnostic,4,3,1,0.75,0.7778,-0.0278,thin,research,False,Retain as a descriptive feature only.,non-positive lift,thin sample below candidate threshold 8
division_game=false,division_game,false,context,11,8,3,0.7273,0.7778,-0.0505,monitor,research,False,Retain as a descriptive feature only.,context factor should not directly alter picks;non-positive lift,below production threshold 40
actual_vs_pythagorean_delta_bin=neutral,actual_vs_pythagorean_delta_bin,neutral,research_feature,7,5,2,0.7143,0.7778,-0.0635,thin,research,False,Retain as a descriptive feature only.,non-positive lift,thin sample below candidate threshold 8
best_edge_side=AWAY,best_edge_side,AWAY,selector_diagnostic,7,5,2,0.7143,0.7778,-0.0635,thin,research,False,Retain as a descriptive feature only.,non-positive lift,thin sample below candidate threshold 8
overperformance_side=NEUTRAL,overperformance_side,NEUTRAL,research_feature,7,5,2,0.7143,0.7778,-0.0635,thin,research,False,Retain as a descriptive feature only.,non-positive lift,thin sample below candidate threshold 8
pythagorean_side=HOME,pythagorean_side,HOME,research_feature,7,5,2,0.7143,0.7778,-0.0635,thin,research,False,Retain as a descriptive feature only.,non-positive lift,thin sample below candidate threshold 8
vegas_win_total_delta_bin=abs2_to_4,vegas_win_total_delta_bin,abs2_to_4,research_feature,7,5,2,0.7143,0.7778,-0.0635,thin,research,False,Retain as a descriptive feature only.,non-positive lift,thin sample below candidate threshold 8
market_expectation_side=AWAY,market_expectation_side,AWAY,research_feature,10,7,3,0.7,0.7778,-0.0778,monitor,research,False,Retain as a descriptive feature only.,non-positive lift,below production threshold 40
pythagorean_wins_delta_bin=abs>=4,pythagorean_wins_delta_bin,abs>=4,research_feature,10,7,3,0.7,0.7778,-0.0778,monitor,research,False,Retain as a descriptive feature only.,non-positive lift,below production threshold 40
pythagorean_vs_vegas_delta_bin=abs>=4,pythagorean_vs_vegas_delta_bin,abs>=4,research_feature,13,9,4,0.6923,0.7778,-0.0855,monitor,research,False,Retain as a descriptive feature only.,non-positive lift,below production threshold 40
spread_score_bin=0_to_3.5,spread_score_bin,0_to_3.5,selector_diagnostic,9,6,3,0.6667,0.7778,-0.1111,monitor,research,False,Retain as a descriptive feature only.,non-positive lift,below production threshold 40
total_score_bin=<=0,total_score_bin,<=0,selector_diagnostic,8,5,3,0.625,0.7778,-0.1528,monitor,research,False,Retain as a descriptive feature only.,non-positive lift,below production threshold 40;loss rate too high for production
best_edge_score_bin=0_to_4,best_edge_score_bin,0_to_4,selector_diagnostic,5,3,2,0.6,0.7778,-0.1778,thin,research,False,Retain as a descriptive feature only.,non-positive lift,thin sample below candidate threshold 8;loss rate too high for production
market_expectation_pick_alignment=aligned,market_expectation_pick_alignment,aligned,candidate_overlay,5,3,2,0.6,0.7778,-0.1778,thin,research,False,Retain as a descriptive feature only.,non-positive lift,thin sample below candidate threshold 8;loss rate too high for production
moneyline_selected_ev_bin=0.10_to_0.20,moneyline_selected_ev_bin,0.10_to_0.20,moneyline_research,4,2,2,0.5,0.7778,-0.2778,thin,research,False,Retain as a descriptive feature only.,moneyline is research-only until the pricing model is separately validated;non-positive lift,thin sample below candidate threshold 8;loss rate too high for production
pythagorean_pick_alignment=conflict,pythagorean_pick_alignment,conflict,candidate_overlay,4,2,2,0.5,0.7778,-0.2778,thin,research,False,Retain as a descriptive feature only.,non-positive lift,thin sample below candidate threshold 8;loss rate too high for production
value_gap_pick_alignment=conflict,value_gap_pick_alignment,conflict,candidate_overlay,4,2,2,0.5,0.7778,-0.2778,thin,research,False,Retain as a descriptive feature only.,non-positive lift,thin sample below candidate threshold 8;loss rate too high for production
market_expectation_side=NEUTRAL,market_expectation_side,NEUTRAL,research_feature,2,1,1,0.5,0.7778,-0.2778,micro,research,False,Retain as a descriptive feature only.,non-positive lift;needs at least 4 graded plays to monitor,loss rate too high for production
overperformance_pick_alignment=conflict,overperformance_pick_alignment,conflict,candidate_overlay,2,1,1,0.5,0.7778,-0.2778,micro,research,False,Retain as a descriptive feature only.,non-positive lift;needs at least 4 graded plays to monitor,loss rate too high for production
total_score_bin=>=4.5,total_score_bin,>=4.5,selector_diagnostic,2,1,1,0.5,0.7778,-0.2778,micro,research,False,Retain as a descriptive feature only.,non-positive lift;needs at least 4 graded plays to monitor,loss rate too high for production
vegas_win_total_delta_bin=neutral,vegas_win_total_delta_bin,neutral,research_feature,2,1,1,0.5,0.7778,-0.2778,micro,research,False,Retain as a descriptive feature only.,non-positive lift;needs at least 4 graded plays to monitor,loss rate too high for production
